#common-it
abitua|привыкает (si abitua)|abituarsi — привыкать
accorge|замечает (si accorge)|accorgersi — замечать
acqua|вода|l’acqua
addormentato|заснул|addormentarsi — засыпать
affatto|совсем (non … affatto — совсем не)|наречие
aggiunse|добавил|aggiungere — добавлять
ai|к (a + i)|a + i
alba|рассвет|l’alba
albicocche|абрикосы|l’albicocca — абрикос
alcuni|некоторые|alcuno
allora|значит, тогда|наречие
allunga|растягивается (si allunga)|allungarsi
alta|высокое|alto — высокий
altre|другие|altro — другой
ammettere|признавать|глагол
andare|идти, пойти|глагол
andata|ушла|andare — идти
appaiono|появляются|apparire — появляться
apparteneva|принадлежали|appartenere — принадлежать
appena|едва, только-только|наречие
aprì|открыл|aprire — открывать
aria|вид (con l’aria di — с видом)|l’aria
arrivata|пришла|arrivare — приходить
arrivato|пришёл|arrivare — приходить
arrivò|пришло|arrivare — приходить
aspettato|ждал|aspettare — ждать
aspettava|ждала|aspettare — ждать
attraversa|переходит|attraversare — переходить
autobus|автобус|l’autobus
aver|(aver toccato — что задел)|avere — иметь
avesse|(chi gliel’avesse mandata — кто ему это послал)|avere
avevano|они (avevano litigato — поссорились)|avere
avevo|у меня было|avere
avrebbe|(avrebbe dovuto — должна была бы)|avere
banchi|прилавки|il banco — прилавок
bicchiere|стакан|il bicchiere
bolletta|счёт за квартиру|la bolletta
buste|конверты|la busta — конверт
cadesse|упала бы|cadere — падать
campanello|звонок|il campanello
capito|поняла|capire — понимать
capiva|понимал|capire — понимать
capì|понял|capire — понимать
carrelli|тележки|il carrello — тележка
ce|туда (ce la spingesse)|ci
certe|некоторые|certo
chiara|Кьяра|имя
chiese|спросил|chiedere — спрашивать
chiuso|закрылся|chiudere — закрывать
cielo|небо|il cielo
cifre|суммы, цифры|la cifra
cinema|кинотеатр|il cinema
cinque|пять|числительное
come|как|наречие
cominciava|начинало|cominciare — начинать
compra|покупает|comprare — покупать
comprava|покупала|comprare — покупать
conosceva|знала|conoscere — быть знакомым
conti|счета|il conto — счёт
continuava|продолжал|continuare — продолжать
controllare|проверить|глагол
cose|вещи|la cosa — вещь
costoso|дорогой|прилагательное
credo|верю (le credo — верю ей)|credere — верить
credono|думают, считают|credere — думать
d|(d’acqua — воды)|di
dato|дал|dare — давать
davanti|перед, напротив|наречие
davvero|правда, действительно|наречие
dei|(dei fiori — цветочный, di + i)|di + i
denaro|деньги|il denaro
denunciare|заявить, разоблачить|глагол
diceva|говорила|dire — говорить
discute|спорит|discutere — спорить
dito|палец|il dito
diventa|становится|diventare — становиться
dorme|спит|dormire — спать
dormire|спать|глагол
dormito|спала|dormire — спать
dovuto|должна была|dovere — быть должным
dura|стоит, держится|durare — длиться
elenco|список|l’elenco
erano|были|essere — быть
esiste|существует|esistere — существовать
fabbri|Фаббри|фамилия
faccia|лицо|la faccia
far|(far passare — пропускать)|fare — делать
fatica|усилие (senza fatica — без труда)|la fatica
fece|составил|fare — делать
ferma|останавливается (si ferma)|fermarsi — останавливаться
fermarsi|остаться, задержаться|глагол
fidava|доверяла (si fidava)|fidarsi — доверять
fine|конец (alla fine — в конце концов)|la fine
