#it-1
accento|акцент, говор|l'accento — акцент
al|в, у (a + il)|предлог a + артикль
all|к, у (all'angolo — до угла)|a + l'
alla|с, к (a + la)|a + la
alle|в (о времени)|a + le
alza|поднимает|alzare — поднимать
anch|тоже (anch'io — я тоже)|anche
ancora|ещё, пока|наречие
angolo|угол|l'angolo — угол
anni|лет, годы|l'anno — год
apre|открывает|aprire — открывать
arriva|доносится, доходит|arrivare — прибывать
banco|стойка, прилавок|il banco
bar|бар, кофейня|il bar
barista|бариста|il barista
bene|хорошо|наречие
beve|пьёт|bere — пить
c|вот, есть (c'è)|ci
caffè|кофе|il caffè
caldo|тёплый, горячий|прилагательное
capelli|волосы|i capelli
cappuccino|капучино|il cappuccino
casa|дом|la casa
chiama|зовут (si chiama)|chiamarsi — зваться
chiede|спрашивает|chiedere — спрашивать
città|город|la città
con|с|предлог
conosce|знает, знаком|conoscere — быть знакомым
cornetto|круассан|il cornetto
corti|короткие|corto — короткий
cosa|вещь, штука|la cosa
del|из, от (di + il)|di + il
di|из, от|предлог
dice|говорит|dire — говорить
e|и|союз
era|был, было|essere — быть
esce|выходит|uscire — выходить
fa|назад (anni fa)|fare
finalmente|наконец|наречие
finestre|окна|la finestra — окно
fino|до (fino a)|предлог
fuori|снаружи, на улице|наречие
gino|Джино|имя
giorno|день|il giorno
gli|артикль мн. ч.|gli
grandi|большие|grande — большой
guarda|смотрит|guardare — смотреть
ha|имеет, у неё есть|avere — иметь
ho|я (ho rotto — я разбила)|avere
i|артикль мн. ч. м. р.|i
il|артикль м. р.|il
in|в|предлог
io|я|местоимение
la|её; артикль ж. р.|la
lavoro|работа|il lavoro
le|артикль мн. ч. ж. р.; их|le
lei|она|местоимение
lui|он|местоимение
ma|но|союз
marmellata|джем|la marmellata
marta|Марта|имя
mattina|утро|la mattina
meno|без (без четверти)|наречие
molti|много, многие|molto
nessuno|никто|местоимение
niente|ничего|местоимение
non|не|частица
nuova|новая|nuovo — новый
occhi|глаза|l'occhio — глаз
odore|запах|l'odore
oggi|сегодня|наречие
ogni|каждый|прилагательное
ordina|заказывает|ordinare — заказывать
paga|платит|pagare — платить
pane|хлеб|il pane
panettiere|пекарь|il panettiere
perfetto|идеальный|прилагательное
però|но, однако|союз
piattino|блюдце|il piattino
piedi|ноги (in piedi — стоя)|il piede — нога
